Date,US,EU,INDIA,JAPAN,VIX
2022-02-02,4589.3798828125,4222.0498046875,17780.0,27533.599609375,22.09000015258789
2022-02-03,4477.43994140625,4141.02001953125,17560.19921875,27241.310546875,24.350000381469727
2022-02-04,4500.52978515625,4086.580078125,17516.30078125,27439.990234375,23.219999313354492
2022-02-07,4483.8701171875,4120.56005859375,17213.599609375,27248.869140625,22.860000610351562
2022-02-08,4521.5400390625,4129.25,17266.75,27284.51953125,21.440000534057617
2022-02-09,4587.18017578125,4204.08984375,17463.80078125,27579.869140625,19.959999084472656
2022-02-10,4504.080078125,4197.06982421875,17605.849609375,27696.080078125,23.90999984741211
2022-02-14,4401.669921875,4064.449951171875,16842.80078125,27079.58984375,28.329999923706055
2022-02-15,4471.06982421875,4143.7099609375,17352.44921875,26865.189453125,25.700000762939453
2022-02-16,4475.009765625,4137.22021484375,17322.19921875,27460.400390625,24.290000915527344
2022-02-17,4380.259765625,4113.18994140625,17304.599609375,27232.869140625,28.110000610351562
2022-02-18,4348.8701171875,4074.280029296875,17276.30078125,27122.0703125,27.75
2022-02-22,4304.759765625,3985.469970703125,17092.19921875,26449.609375,28.809999465942383
2022-02-24,4288.7001953125,3829.2900390625,16247.9501953125,25970.8203125,30.31999969482422
2022-02-25,4384.64990234375,3970.68994140625,16658.400390625,26476.5,27.59000015258789
2022-02-28,4373.93994140625,3924.22998046875,16793.900390625,26526.8203125,30.149999618530273
2022-03-02,4386.5400390625,3820.590087890625,16605.94921875,26393.029296875,30.739999771118164
2022-03-03,4363.490234375,3741.780029296875,16498.05078125,26577.26953125,30.479999542236328
2022-03-04,4328.8701171875,3556.010009765625,16245.349609375,25985.470703125,31.979999542236328
2022-03-07,4201.08984375,3512.219970703125,15863.150390625,25221.41015625,36.45000076293945
2022-03-08,4170.7001953125,3505.2900390625,16013.4501953125,24790.94921875,35.130001068115234
2022-03-09,4277.8798828125,3766.02001953125,16345.349609375,24717.529296875,32.45000076293945
2022-03-10,4259.52001953125,3651.389892578125,16594.900390625,25690.400390625,30.229999542236328
2022-03-11,4204.31005859375,3686.780029296875,16630.44921875,25162.779296875,30.75
2022-03-14,4173.10986328125,3741.10009765625,16871.30078125,25307.849609375,31.770000457763672
2022-03-15,4262.4501953125,3738.110107421875,16663.0,25346.48046875,29.829999923706055
2022-03-16,4357.85986328125,3889.68994140625,16975.349609375,25762.009765625,26.670000076293945
2022-03-17,4411.669921875,3885.320068359375,17287.05078125,26652.890625,25.670000076293945
2022-03-22,4511.60986328125,3926.1201171875,17315.5,27224.109375,22.940000534057617
